Alaska,571951
Texas,261797
California,155959
Montana,145552
New Mexico,121356
Arizona,113635
Nevada,109826
Colorado,103718
Wyoming,97100
Oregon,95997
Idaho,82747
Utah,82144
Kansas,81815
Minnesota,79610
Nebraska,76872
South Dakota,75885
North Dakota,68976
Missouri,68886
Oklahoma,68667
Washington,66544
Georgia,57906
Michigan,56804
Iowa,55869
Illinois,55584
Wisconsin,54310
Florida,53927
Arkansas,52068
Alabama,50744
North Carolina,48711
New York,47214
Mississippi,46907
Pennsylvania,44817
Louisiana,43562
Tennessee,41217
Ohio,40948
Kentucky,39728
Virginia,39594
Indiana,35867
Maine,30862
South Carolina,30110
West Virginia,24078
Maryland,9774
Vermont,9250
New Hampshire,8968
Massachusetts,7840
New Jersey,7417
Hawaii,6423
Connecticut,4845
Delaware,1954
Rhode Island,1045
